2018-06-28 01:57:37 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-06-28 01:57:38 INFO  HiveMetaStore:589 - 0: Opening raw store with implemenation class:org.apache.hadoop.hive.metastore.ObjectStore
2018-06-28 01:57:38 INFO  ObjectStore:289 - ObjectStore, initialize called
2018-06-28 01:57:38 INFO  Persistence:77 - Property hive.metastore.integral.jdo.pushdown unknown - will be ignored
2018-06-28 01:57:38 INFO  Persistence:77 - Property datanucleus.cache.level2 unknown - will be ignored
2018-06-28 01:57:39 INFO  ObjectStore:370 - Setting MetaStore object pin classes with hive.metastore.cache.pinobjtypes="Table,StorageDescriptor,SerDeInfo,Partition,Database,Type,FieldSchema,Order"
2018-06-28 01:57:40 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 01:57:40 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 01:57:40 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 01:57:40 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 01:57:40 INFO  Query:77 - Reading in results for query "org.datanucleus.store.rdbms.query.SQLQuery@0" since the connection used is closing
2018-06-28 01:57:40 INFO  MetaStoreDirectSql:139 - Using direct SQL, underlying DB is DERBY
2018-06-28 01:57:40 INFO  ObjectStore:272 - Initialized ObjectStore
2018-06-28 01:57:40 INFO  HiveMetaStore:663 - Added admin role in metastore
2018-06-28 01:57:40 INFO  HiveMetaStore:672 - Added public role in metastore
2018-06-28 01:57:40 INFO  HiveMetaStore:712 - No user is added in admin role, since config is empty
2018-06-28 01:57:40 INFO  HiveMetaStore:746 - 0: get_all_databases
2018-06-28 01:57:40 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_all_databases	
2018-06-28 01:57:40 INFO  HiveMetaStore:746 - 0: get_functions: db=default pat=*
2018-06-28 01:57:40 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=default pat=*	
2018-06-28 01:57:40 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MResourceUri" is tagged as "embedded-only" so does not have its own datastore table.
2018-06-28 01:57:40 INFO  HiveMetaStore:746 - 0: get_functions: db=tpcds_text_10 pat=*
2018-06-28 01:57:40 INFO  audit:371 - ugi=jimmyyou	ip=unknown-ip-addr	cmd=get_functions: db=tpcds_text_10 pat=*	
2018-06-28 01:57:41 INFO  SessionState:641 - Created local directory: /tmp/964a7b53-dfa9-4c78-8855-45fa88aa1375_resources
2018-06-28 01:57:41 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/jimmyyou/964a7b53-dfa9-4c78-8855-45fa88aa1375
2018-06-28 01:57:41 INFO  SessionState:641 - Created local directory: /tmp/jimmyyou/964a7b53-dfa9-4c78-8855-45fa88aa1375
2018-06-28 01:57:41 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/jimmyyou/964a7b53-dfa9-4c78-8855-45fa88aa1375/_tmp_space.db
2018-06-28 01:57:41 INFO  SparkContext:54 - Running Spark version 2.3.1
2018-06-28 01:57:41 INFO  SparkContext:54 - Submitted application: SparkSQL::10.0.1.253
2018-06-28 01:57:41 INFO  SecurityManager:54 - Changing view acls to: jimmyyou
2018-06-28 01:57:41 INFO  SecurityManager:54 - Changing modify acls to: jimmyyou
2018-06-28 01:57:41 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-06-28 01:57:41 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-06-28 01:57:41 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(jimmyyou); groups with view permissions: Set(); users  with modify permissions: Set(jimmyyou); groups with modify permissions: Set()
2018-06-28 01:57:41 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 35519.
2018-06-28 01:57:41 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-06-28 01:57:41 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-06-28 01:57:41 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-06-28 01:57:41 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-06-28 01:57:41 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-b9e0386b-4866-4fd9-a7d2-fc50ef3f2173
2018-06-28 01:57:41 INFO  MemoryStore:54 - MemoryStore started with capacity 2004.6 MB
2018-06-28 01:57:41 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-06-28 01:57:41 INFO  log:192 - Logging initialized @4574ms
2018-06-28 01:57:41 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2018-06-28 01:57:41 INFO  Server:414 - Started @4630ms
2018-06-28 01:57:41 INFO  AbstractConnector:278 - Started ServerConnector@359ceb13{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-06-28 01:57:41 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7db5b890{/jobs,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@448ade1{/jobs/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@21f9c6ea{/jobs/job,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3dfd7eaa{/jobs/job/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7c9beb51{/stages,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@133aacbe{/stages/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2aa5bd48{/stages/stage,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@19002b34{/stages/stage/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1ec88aa1{/stages/pool,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3e6748ae{/stages/pool/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@28f154cc{/storage,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3030836d{/storage/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6af78a48{/storage/rdd,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6ed18d80{/storage/rdd/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4c24f3a2{/environment,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@783b3aa0{/environment/json,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2ec85a25{/executors,null,AVAILABLE,@Spark}
2018-06-28 01:57:41 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4c176ff1{/executors/json,null,AVAILABLE,@Spark}
